                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1575,                  6.673,                0.98002,                0.31076,                0.29948,                0.12067,                0.09516,                 0.9248,                 4.8199,                0.87748,                 0.0001,                 0.0001,                 0.0001
                      1,                0.90806,                 1.7078,                0.88966,                0.55775,                0.42243,                0.35328,                0.26199,                0.75652,                 1.5447,                0.83825,             0.00020792,             0.00020792,             0.00020792
                      2,                0.82141,                0.98351,                0.85514,                0.57466,                0.54404,                 0.4397,                0.32595,                0.78508,                 1.0371,                0.84494,             0.00031366,             0.00031366,             0.00031366
                      3,                0.78508,                0.78185,                0.85787,                0.65156,                0.57982,                0.52233,                0.38517,                0.74302,                0.79978,                0.84018,             0.00041723,             0.00041723,             0.00041723
                      4,                0.78659,                0.72527,                0.85634,                0.70715,                0.57163,                0.56495,                 0.3936,                0.82581,                0.78899,                0.85043,             0.00051862,             0.00051862,             0.00051862
                      5,                0.77735,                0.68015,                0.85632,                 0.4971,                 0.5726,                 0.5513,                0.40766,                 0.7785,                0.78934,                 0.8492,             0.00061783,             0.00061783,             0.00061783
                      6,                0.74832,                0.61674,                0.85021,                0.50189,                0.55105,                0.53441,                0.38915,                0.77232,                0.72541,                0.84375,             0.00071486,             0.00071486,             0.00071486
                      7,                0.76271,                0.62462,                0.85415,                0.56823,                0.53088,                0.56832,                0.42581,                0.73463,                0.66786,                0.84074,             0.00080971,             0.00080971,             0.00080971
                      8,                0.73841,                 0.6056,                0.84703,                0.54221,                0.54498,                 0.5238,                0.38878,                0.77132,                0.72597,                0.85313,             0.00090238,             0.00090238,             0.00090238
                      9,                0.75265,                0.58174,                0.85559,                0.68252,                0.59728,                0.61734,                0.46645,                 0.7467,                0.66277,                0.84454,              0.0009109,              0.0009109,              0.0009109
                     10,                 0.7473,                0.57613,                0.85052,                0.62716,                0.56492,                0.58427,                 0.4512,                0.73292,                0.78124,                0.83772,              0.0009109,              0.0009109,              0.0009109
                     11,                0.74289,                0.55154,                0.84762,                0.63621,                0.52012,                0.59175,                0.44758,                0.77911,                 0.7571,                0.85718,               0.000901,               0.000901,               0.000901
                     12,                0.74467,                0.55399,                0.84523,                 0.6456,                0.54715,                0.60386,                 0.4636,                0.72765,                0.73643,                 0.8471,              0.0008911,              0.0008911,              0.0008911
                     13,                0.72374,                0.53606,                0.84761,                0.73794,                0.63495,                0.68917,                0.51689,                0.74199,                0.61313,                0.84303,              0.0008812,              0.0008812,              0.0008812
                     14,                0.74183,                0.54594,                0.84862,                0.73424,                0.62961,                0.70769,                 0.5372,                0.73879,                0.59831,                 0.8476,              0.0008713,              0.0008713,              0.0008713
                     15,                0.72374,                0.52117,                0.84389,                0.62688,                 0.6472,                0.67461,                0.52255,                0.69868,                0.56371,                0.83361,              0.0008614,              0.0008614,              0.0008614
                     16,                0.71563,                0.51665,                0.84206,                0.65575,                0.65447,                0.66662,                0.51663,                0.70922,                0.59529,                0.83352,              0.0008515,              0.0008515,              0.0008515
                     17,                0.72171,                0.50968,                0.84824,                0.80929,                0.61688,                0.69923,                0.53843,                0.70239,                0.55505,                0.83207,              0.0008416,              0.0008416,              0.0008416
                     18,                0.71042,                0.48851,                0.84079,                0.74868,                0.63224,                0.68038,                0.52342,                0.67968,                0.53929,                0.82979,              0.0008317,              0.0008317,              0.0008317
                     19,                0.70119,                0.49336,                0.84471,                0.67897,                0.67849,                0.70609,                0.55068,                0.67977,                 0.5371,                0.83047,              0.0008218,              0.0008218,              0.0008218
                     20,                0.69037,                0.48398,                0.83812,                0.73945,                 0.6547,                0.71184,                0.53638,                0.73985,                0.56101,                0.83601,              0.0008119,              0.0008119,              0.0008119
                     21,                0.69849,                0.47416,                0.84126,                0.69976,                0.66564,                0.72238,                0.56475,                0.67387,                0.51874,                0.82574,               0.000802,               0.000802,               0.000802
                     22,                0.69857,                0.48249,                0.83775,                0.78449,                0.66046,                0.75976,                0.59044,                0.67582,                0.52334,                 0.8291,              0.0007921,              0.0007921,              0.0007921
                     23,                0.68438,                0.47393,                0.83683,                0.66768,                0.72477,                0.73684,                0.58403,                0.66764,                0.51386,                0.82849,              0.0007822,              0.0007822,              0.0007822
                     24,                0.71768,                0.47683,                 0.8373,                  0.774,                0.71486,                0.75745,                0.58635,                0.70844,                0.52903,                0.83451,              0.0007723,              0.0007723,              0.0007723
                     25,                0.70246,                0.45286,                0.83718,                0.72582,                0.76247,                0.76983,                0.60408,                0.71659,                0.49826,                0.83465,              0.0007624,              0.0007624,              0.0007624
                     26,                0.69194,                0.43983,                0.83152,                0.74307,                0.75314,                0.76754,                0.60082,                0.68196,                0.48113,                0.82976,              0.0007525,              0.0007525,              0.0007525
                     27,                0.67288,                0.43865,                 0.8325,                0.80985,                0.71347,                0.78663,                0.61725,                0.66447,                0.48154,                0.82672,              0.0007426,              0.0007426,              0.0007426
                     28,                0.68962,                0.44872,                0.83746,                0.70549,                0.71694,                0.73158,                0.56932,                0.68077,                0.52434,                0.82712,              0.0007327,              0.0007327,              0.0007327
                     29,                0.67372,                0.44866,                0.83623,                0.83195,                0.65423,                0.77292,                0.61545,                 0.6526,                0.48467,                0.82436,              0.0007228,              0.0007228,              0.0007228
                     30,                0.67017,                 0.4327,                0.83344,                0.84076,                0.74763,                0.78235,                0.62158,                0.65469,                0.50297,                0.82601,              0.0007129,              0.0007129,              0.0007129
                     31,                0.65516,                0.44619,                0.82916,                0.85144,                0.68621,                0.76838,                0.61949,                0.65208,                0.46348,                0.82408,               0.000703,               0.000703,               0.000703
                     32,                0.65544,                0.42128,                0.83204,                 0.7339,                0.79279,                0.79635,                0.63035,                0.64178,                0.46992,                 0.8253,              0.0006931,              0.0006931,              0.0006931
                     33,                0.64896,                0.41413,                0.83135,                0.79144,                0.73268,                0.79756,                0.62606,                0.65437,                0.47329,                 0.8247,              0.0006832,              0.0006832,              0.0006832
                     34,                0.65395,                0.42636,                0.83155,                0.70934,                0.74848,                0.76782,                0.60564,                0.64343,                0.47464,                0.82256,              0.0006733,              0.0006733,              0.0006733
                     35,                0.66373,                0.41832,                0.82931,                0.70484,                0.74616,                0.75699,                0.59815,                0.64936,                0.48809,                0.82232,              0.0006634,              0.0006634,              0.0006634
                     36,                0.64865,                0.41424,                0.82797,                0.69682,                0.79428,                   0.78,                0.62091,                0.64106,                0.48973,                  0.822,              0.0006535,              0.0006535,              0.0006535
                     37,                0.65053,                0.41311,                0.83137,                0.68047,                0.82411,                0.76889,                0.60707,                0.64483,                0.46872,                0.82032,              0.0006436,              0.0006436,              0.0006436
                     38,                0.65146,                 0.4222,                0.82926,                0.74527,                0.79395,                0.75944,                 0.6055,                0.62927,                0.45908,                0.81715,              0.0006337,              0.0006337,              0.0006337
                     39,                0.64893,                 0.4111,                0.82814,                0.77512,                0.68037,                0.75258,                 0.5939,                0.66648,                 0.4761,                0.82452,              0.0006238,              0.0006238,              0.0006238
                     40,                0.66333,                0.41542,                0.83284,                0.76621,                0.69874,                0.78292,                 0.6291,                0.63696,                 0.4657,                 0.8169,              0.0006139,              0.0006139,              0.0006139
                     41,                0.64417,                0.39875,                0.82975,                0.71754,                0.77623,                0.77103,                0.61955,                0.63371,                  0.452,                0.81789,               0.000604,               0.000604,               0.000604
                     42,                 0.6394,                0.39569,                0.82802,                0.77238,                0.69856,                0.75145,                 0.5998,                0.63682,                0.46436,                0.81655,              0.0005941,              0.0005941,              0.0005941
                     43,                0.63045,                0.37919,                0.82699,                0.78455,                0.77257,                0.81334,                0.64849,                0.62936,                0.45852,                0.81608,              0.0005842,              0.0005842,              0.0005842
                     44,                0.62656,                0.39391,                0.82502,                0.69022,                0.77494,                0.78342,                0.62739,                0.63006,                0.44257,                 0.8198,              0.0005743,              0.0005743,              0.0005743
                     45,                0.62267,                0.38249,                0.82681,                0.75968,                0.76892,                0.75789,                0.61172,                0.62422,                0.44355,                0.81765,              0.0005644,              0.0005644,              0.0005644
                     46,                0.63518,                0.38626,                0.82681,                0.72696,                0.76947,                0.75926,                  0.606,                0.63799,                0.45758,                0.81892,              0.0005545,              0.0005545,              0.0005545
                     47,                0.63331,                0.38612,                 0.8273,                0.88174,                0.74059,                0.79759,                0.64852,                0.65068,                0.45236,                0.82287,              0.0005446,              0.0005446,              0.0005446
                     48,                0.62349,                0.37963,                0.82482,                0.79754,                0.76956,                 0.7864,                0.62778,                0.63369,                0.44217,                0.81754,              0.0005347,              0.0005347,              0.0005347
                     49,                0.62364,                0.37702,                0.82152,                0.82299,                0.72925,                0.79398,                0.64372,                0.61757,                0.43346,                0.81742,              0.0005248,              0.0005248,              0.0005248
                     50,                0.62487,                0.38175,                0.82387,                0.79851,                0.77622,                0.80767,                0.65575,                0.62139,                0.43948,                0.81916,              0.0005149,              0.0005149,              0.0005149
                     51,                0.62539,                0.36517,                0.82556,                0.77518,                0.80908,                0.81145,                 0.6585,                0.61424,                0.42094,                 0.8178,               0.000505,               0.000505,               0.000505
                     52,                0.59815,                 0.3564,                0.82068,                0.72671,                0.76879,                0.77963,                0.62596,                0.61927,                0.41771,                0.81821,              0.0004951,              0.0004951,              0.0004951
                     53,                 0.6088,                0.37039,                0.82586,                0.76408,                0.71904,                0.74618,                0.60312,                0.62196,                0.45183,                0.81613,              0.0004852,              0.0004852,              0.0004852
                     54,                0.60627,                0.37364,                0.82375,                0.78035,                 0.7836,                0.79181,                0.64088,                0.62927,                0.44885,                0.81533,              0.0004753,              0.0004753,              0.0004753
                     55,                0.60927,                0.36429,                0.82242,                0.73912,                0.83772,                0.80018,                0.64132,                0.63201,                 0.4252,                0.81927,              0.0004654,              0.0004654,              0.0004654
                     56,                0.60119,                0.35757,                0.81854,                0.80901,                 0.7587,                0.79701,                0.64692,                0.61835,                0.43299,                0.81556,              0.0004555,              0.0004555,              0.0004555
                     57,                0.60223,                0.37126,                0.82113,                0.75637,                0.82274,                0.77826,                0.62731,                0.62544,                0.43839,                0.81821,              0.0004456,              0.0004456,              0.0004456
                     58,                0.59859,                0.35731,                0.81834,                0.82874,                0.80688,                0.84274,                0.69166,                0.61847,                0.41761,                0.81843,              0.0004357,              0.0004357,              0.0004357
                     59,                0.59555,                0.35623,                  0.822,                0.84548,                0.79597,                0.82255,                0.66923,                0.61794,                0.42893,                0.81543,              0.0004258,              0.0004258,              0.0004258
                     60,                0.60552,                0.36217,                0.82097,                0.86448,                0.75591,                0.82026,                0.65765,                0.64283,                0.44155,                0.81892,              0.0004159,              0.0004159,              0.0004159
                     61,                0.59625,                0.35075,                 0.8185,                0.73583,                0.81326,                0.81783,                0.65979,                 0.6154,                0.43754,                0.81532,               0.000406,               0.000406,               0.000406
                     62,                0.56995,                0.34222,                0.81536,                0.81409,                0.80954,                0.80999,                0.66267,                0.60891,                0.43375,                0.81484,              0.0003961,              0.0003961,              0.0003961
                     63,                0.58871,                0.34946,                0.81897,                0.76661,                0.81523,                0.78889,                0.63597,                0.62571,                0.43801,                0.81634,              0.0003862,              0.0003862,              0.0003862
                     64,                0.57569,                0.34378,                0.81742,                0.80492,                0.73145,                0.76175,                0.61625,                0.63167,                0.44031,                0.81927,              0.0003763,              0.0003763,              0.0003763
                     65,                0.57534,                0.33952,                 0.8172,                0.78939,                0.73455,                0.77224,                0.62666,                0.61829,                0.45497,                 0.8165,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.5798,                 0.3366,                0.81938,                0.78555,                0.80369,                 0.7898,                0.63628,                0.61856,                0.45898,                0.81606,              0.0003565,              0.0003565,              0.0003565
                     67,                0.57802,                0.35072,                0.81948,                0.84927,                0.79594,                0.82112,                0.65835,                0.62266,                0.43659,                0.81837,              0.0003466,              0.0003466,              0.0003466
                     68,                0.57905,                0.34342,                 0.8184,                0.79892,                0.77206,                0.79106,                 0.6406,                0.62212,                0.42122,                 0.8183,              0.0003367,              0.0003367,              0.0003367
                     69,                0.57028,                0.33634,                0.81712,                0.79696,                0.75602,                0.81553,                0.66801,                0.60928,                 0.4218,                0.81378,              0.0003268,              0.0003268,              0.0003268
                     70,                0.56782,                0.33108,                0.81509,                0.76139,                0.79319,                0.79676,                 0.6457,                0.61192,                0.42259,                0.81358,              0.0003169,              0.0003169,              0.0003169
                     71,                0.56247,                0.32852,                0.81316,                 0.8053,                0.76798,                0.80553,                0.65784,                0.62529,                0.42042,                0.81855,               0.000307,               0.000307,               0.000307
                     72,                0.55908,                0.32618,                 0.8147,                0.82747,                0.79973,                 0.8179,                0.67575,                0.61531,                0.41009,                0.81555,              0.0002971,              0.0002971,              0.0002971
                     73,                0.56602,                0.33007,                0.81464,                0.80187,                0.79543,                0.78933,                0.64148,                0.61503,                0.41511,                0.81625,              0.0002872,              0.0002872,              0.0002872
                     74,                0.54517,                0.31342,                0.80961,                0.76603,                0.80473,                 0.7989,                0.64955,                0.61105,                0.41645,                0.81755,              0.0002773,              0.0002773,              0.0002773
                     75,                0.55138,                 0.3205,                0.81494,                0.75034,                0.81819,                 0.8069,                0.65478,                0.61131,                0.40599,                0.81592,              0.0002674,              0.0002674,              0.0002674
                     76,                0.55558,                0.32163,                0.81145,                0.76502,                0.80125,                0.80326,                0.65914,                0.61693,                0.40748,                 0.8162,              0.0002575,              0.0002575,              0.0002575
                     77,                0.55706,                0.32008,                0.80978,                0.81444,                0.76121,                0.80701,                0.66039,                0.61905,                0.40648,                0.81637,              0.0002476,              0.0002476,              0.0002476
                     78,                0.54598,                0.31418,                0.81126,                0.87572,                0.78495,                0.82796,                  0.683,                0.60172,                0.39713,                0.81335,              0.0002377,              0.0002377,              0.0002377
                     79,                0.55187,                0.30924,                0.81078,                0.77399,                0.78954,                0.79765,                0.65086,                0.61553,                0.41212,                0.81618,              0.0002278,              0.0002278,              0.0002278
                     80,                0.54056,                0.30551,                0.81323,                0.82355,                0.78515,                0.80286,                  0.655,                0.61084,                0.42178,                0.81462,              0.0002179,              0.0002179,              0.0002179
                     81,                0.54164,                0.31453,                 0.8151,                0.79853,                0.79875,                0.80797,                0.66017,                0.60551,                0.40383,                 0.8141,               0.000208,               0.000208,               0.000208
                     82,                0.54303,                0.30773,                0.81475,                0.79471,                0.81455,                0.79919,                0.65168,                0.61014,                0.40967,                0.81449,              0.0001981,              0.0001981,              0.0001981
                     83,                0.54343,                0.31222,                0.81053,                0.78281,                 0.7809,                0.79058,                0.64891,                0.61312,                0.41794,                0.81648,              0.0001882,              0.0001882,              0.0001882
                     84,                0.53218,                0.29886,                0.80775,                0.77175,                 0.7821,                 0.7899,                0.64378,                0.60879,                0.40684,                0.81625,              0.0001783,              0.0001783,              0.0001783
                     85,                0.53749,                0.30518,                0.81128,                0.75651,                0.79305,                0.77603,                0.63648,                 0.6025,                0.41571,                0.81333,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.5174,                0.29637,                 0.8045,                0.80538,                0.78238,                0.78895,                0.64568,                0.60786,                 0.4022,                0.81648,              0.0001585,              0.0001585,              0.0001585
                     87,                0.52608,                0.29253,                0.80521,                0.82648,                0.77557,                0.80639,                0.65619,                0.61661,                 0.4119,                 0.8193,              0.0001486,              0.0001486,              0.0001486
                     88,                 0.5191,                 0.2911,                0.80623,                0.82812,                0.77199,                0.80689,                0.66271,                0.60918,                0.40885,                0.81725,              0.0001387,              0.0001387,              0.0001387
                     89,                0.53173,                0.29306,                0.81142,                0.82755,                0.80814,                0.80671,                0.65732,                0.60356,                0.40219,                0.81687,              0.0001288,              0.0001288,              0.0001288
                     90,                0.52303,                0.28578,                0.80134,                0.84416,                0.75025,                0.79401,                0.65203,                0.61204,                0.40299,                0.81893,              0.0001189,              0.0001189,              0.0001189
                     91,                0.51924,                0.28668,                0.79721,                 0.8121,                0.75674,                0.78506,                 0.6485,                0.60721,                 0.4034,                0.81565,               0.000109,               0.000109,               0.000109
                     92,                0.51254,                0.28078,                0.79716,                0.79235,                 0.7915,                0.78102,                0.64605,                0.60546,                0.40512,                0.81534,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.51057,                0.27701,                0.79521,                0.77835,                0.76898,                0.79698,                0.65654,                0.61063,                0.40109,                0.81591,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.50563,                 0.2735,                0.79886,                0.78278,                0.80818,                0.79935,                0.65326,                0.60656,                0.40374,                0.81571,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.50068,                0.26658,                0.79717,                0.79848,                0.78042,                0.78591,                0.64302,                0.60608,                0.40427,                0.81627,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.49327,                0.26821,                0.79591,                0.81588,                0.78095,                0.78592,                0.64315,                0.61021,                0.40346,                0.81647,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.49195,                0.26189,                0.79515,                 0.8202,                0.78226,                0.78916,                0.64953,                0.60846,                0.40275,                0.81636,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.48387,                0.26237,                0.79258,                0.78516,                0.79427,                0.78803,                0.64613,                  0.608,                0.40184,                0.81689,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.49464,                0.26096,                0.79356,                0.81791,                0.77221,                0.79295,                0.65161,                0.60732,                0.40103,                0.81641,               2.98e-05,               2.98e-05,               2.98e-05
